HumiditySensorType,1,ObjectType
HumiditySensorType_Humidity,2,Variable
HumiditySensorType_Humidity_Definition,3,Variable
HumiditySensorType_Humidity_ValuePrecision,4,Variable
HumiditySensorType_Humidity_InstrumentRange,5,Variable
HumiditySensorType_Humidity_EURange,6,Variable
HumiditySensorType_Humidity_EngineeringUnits,7,Variable
PressureSensorType,8,ObjectType
PressureSensorType_Pressure,9,Variable
PressureSensorType_Pressure_Definition,10,Variable
PressureSensorType_Pressure_ValuePrecision,11,Variable
PressureSensorType_Pressure_InstrumentRange,12,Variable
PressureSensorType_Pressure_EURange,13,Variable
PressureSensorType_Pressure_EngineeringUnits,14,Variable
TemperatureSensorType,15,ObjectType
TemperatureSensorType_Temperature,16,Variable
TemperatureSensorType_Temperature_Definition,17,Variable
TemperatureSensorType_Temperature_ValuePrecision,18,Variable
TemperatureSensorType_Temperature_InstrumentRange,19,Variable
TemperatureSensorType_Temperature_EURange,20,Variable
TemperatureSensorType_Temperature_EngineeringUnits,21,Variable
BatteryDiagnosticType,22,ObjectType
BatteryDiagnosticType_Battery,23,Variable
BatteryDiagnosticType_Battery_Definition,24,Variable
BatteryDiagnosticType_Battery_ValuePrecision,25,Variable
BatteryDiagnosticType_Battery_InstrumentRange,26,Variable
BatteryDiagnosticType_Battery_EURange,27,Variable
BatteryDiagnosticType_Battery_EngineeringUnits,28,Variable
IdentityDiagnosticType,29,ObjectType
IdentityDiagnosticType_Battery,30,Variable
